entry	uid	region_start	region_end	perc_cov	V6	Protein.names	Gene.Names	Organism	Length	DisProt	Involvement.in.disease	Interacts.with	InterPro	Subcellular.location..CC.	X3D	Organism..ID.	PubMed.ID	Gene.Ontology..cellular.component.	Gene.Ontology..biological.process.	Gene.Ontology..molecular.function.	Caution	local_pairwise_identity	Af1502_Rg1	other_Rg2	RMSA	TM_Score1	TM_Score2	Aligned_Length	max_TM_score
C5BN68	C5BN68_TERTT	530	601	105.882352941176	unreviewed	histidine kinase (EC 2.7.13.3)	cbrA TERTU_0572	Teredinibacter turnerae (strain ATCC 39867 / T7901)	994				IPR036890;IPR005467;IPR003661;IPR036097;IPR038377;IPR001734;IPR000014;IPR035965;IPR013656;IPR004358;	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.		377629	19568419	membrane [GO:0016020]		phosphorelay sensor kinase activity [GO:0000155]; transmembrane transporter activity [GO:0022857]		100.0	53.079	53.079	0.0	1.0	1.0	994	1.0
A0A559QIZ0	A0A559QIZ0_9ALTE	530	600	104.411764705882	unreviewed	histidine kinase (EC 2.7.13.3)	P886_2127	Alteromonadaceae bacterium 2753L.S.0a.02	993				IPR036890;IPR005467;IPR003661;IPR036097;IPR038377;IPR001734;IPR000014;IPR035965;IPR013656;IPR004358;	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.		1403320		membrane [GO:0016020]		phosphorelay sensor kinase activity [GO:0000155]; transmembrane transporter activity [GO:0022857]	CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data. {ECO:0000313|EMBL:TVZ37782.1}.	87.5	53.079	52.856	2.3	0.95509	0.95602	992	0.95602
A0A1Y6BVX3	A0A1Y6BVX3_9ALTE	530	600	104.411764705882	unreviewed	histidine kinase (EC 2.7.13.3)	SAMN02745866_01324	Alteromonadaceae bacterium Bs31	995				IPR036890;IPR005467;IPR003661;IPR036097;IPR038377;IPR001734;IPR000014;IPR035965;IPR013656;IPR004358;	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.		1304903		membrane [GO:0016020]		phosphorelay sensor kinase activity [GO:0000155]; transmembrane transporter activity [GO:0022857]		76.4	53.079	53.363	3.58	0.89382	0.89298	980	0.89382
A0A2A5HBY9	A0A2A5HBY9_9ALTE	529	600	105.882352941176	unreviewed	histidine kinase (EC 2.7.13.3)	COA42_21960	Alteromonadaceae bacterium	994				IPR036890;IPR005467;IPR003661;IPR036097;IPR038377;IPR001734;IPR000014;IPR035965;IPR004358;	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.		1916082		membrane [GO:0016020]		phosphorelay sensor kinase activity [GO:0000155]; transmembrane transporter activity [GO:0022857]	CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data. {ECO:0000313|EMBL:PCK02598.1}.	72.2	53.079	53.444	2.74	0.93546	0.93546	986	0.93546
Q21FA0	Q21FA0_SACD2	530	601	105.882352941176	unreviewed	histidine kinase (EC 2.7.13.3)	Sde_3374	Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024)	1000				IPR036890;IPR005467;IPR003661;IPR036097;IPR038377;IPR001734;IPR000014;IPR035965;IPR004358;	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.		203122	18516288	membrane [GO:0016020]		phosphorelay sensor kinase activity [GO:0000155]; transmembrane transporter activity [GO:0022857]		70.8	53.079	53.451	2.79	0.93001	0.92466	980	0.93001
A0A0T6UN99	A0A0T6UN99_9PSED	525	595	104.411764705882	unreviewed	histidine kinase (EC 2.7.13.3)	AO726_10420	Pseudomonas sp. TTU2014-080ASC	984				IPR036890;IPR005467;IPR003661;IPR036097;IPR038377;IPR001734;IPR000014;IPR035965;IPR013767;IPR004358;	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.		1729724		membrane [GO:0016020]	regulation of DNA-templated transcription [GO:0006355]	ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]; transmembrane transporter activity [GO:0022857]	CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data. {ECO:0000313|EMBL:KRW59246.1}.	56.9	53.079	51.796	2.8	0.92087	0.9298	975	0.9298
A0A1I3MH02	A0A1I3MH02_9PSED	525	595	104.411764705882	unreviewed	histidine kinase (EC 2.7.13.3)	SAMN05216206_3278	Pseudomonas guineae	984				IPR036890;IPR005467;IPR003661;IPR036097;IPR038377;IPR001734;IPR000014;IPR035965;IPR013767;IPR004358;	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.		425504		membrane [GO:0016020]	regulation of DNA-templated transcription [GO:0006355]	ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]; transmembrane transporter activity [GO:0022857]		52.8	53.079	51.2	4.07	0.86465	0.87285	958	0.87285
A0A1H1Z119	A0A1H1Z119_9PSED	525	594	102.941176470588	unreviewed	histidine kinase (EC 2.7.13.3)	SAMN05216221_4031	Pseudomonas oryzae	984				IPR036890;IPR005467;IPR003661;IPR036097;IPR038377;IPR001734;IPR000014;IPR035965;IPR013767;IPR004358;	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.		1392877		membrane [GO:0016020]	regulation of DNA-templated transcription [GO:0006355]	ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]; transmembrane transporter activity [GO:0022857]		51.4	53.079	51.809	3.47	0.89495	0.90351	972	0.90351
A0A5P9CBN3	A0A5P9CBN3_9PSED	524	595	105.882352941176	unreviewed	histidine kinase (EC 2.7.13.3)	kinA3 FIV02_19085	Pseudomonas sp. THAF187a	984				IPR036890;IPR005467;IPR003661;IPR036097;IPR038377;IPR001734;IPR000014;IPR035965;IPR013767;IPR004358;	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.		2587863		membrane [GO:0016020]	regulation of DNA-templated transcription [GO:0006355]	ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]; transmembrane transporter activity [GO:0022857]		52.8	53.079	51.149	3.99	0.75092	0.7582	815	0.7582
A0A653B149	A0A653B149_PSEOL	524	595	105.882352941176	unreviewed	histidine kinase (EC 2.7.13.3)	POT9AD_1288	Ectopseudomonas oleovorans (Pseudomonas oleovorans)	984				IPR036890;IPR005467;IPR003661;IPR036097;IPR038377;IPR001734;IPR000014;IPR035965;IPR013767;IPR004358;	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.		301		membrane [GO:0016020]	regulation of DNA-templated transcription [GO:0006355]	ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]; transmembrane transporter activity [GO:0022857]		52.8	53.079	50.221	3.65	0.7553	0.76267	809	0.76267
